date,Q,P,PET,T
1981-02-26,0,1.59,8.42,23.88
1981-02-27,0,2.13,8.12,23.68
1981-02-28,0,5.24,6.77,22.69
1981-03-01,0,0.34,8.43,22.48
1981-03-02,0,0,8.19,20.22
1981-03-03,0,0.65,7.89,22.09
1981-03-04,0,11.21,7.25,22.22
1981-03-05,0,0.52,7.9,22.32
1981-03-06,0,0.27,7.52,21.87
1981-03-07,0,0.03,9.74,22.33
1981-03-08,0,0,9.23,23.05
1981-03-09,0,0,8.25,22.91
1981-03-10,0,0.41,8.14,23.72
1981-03-11,0,1.71,8.07,22.35
1981-03-12,0,0,8.83,22.81
1981-03-13,0,0.04,8.84,23.67
1981-03-14,0,0.1,8.73,23.61
1981-03-15,0,0.01,8.82,23.99
1981-03-16,0,0,8.91,24.66
1981-03-17,0,0,8.69,23.68
1981-03-18,0,0.01,8.05,22.88
1981-03-19,0,1.5,6.42,21.76
1981-03-20,0,6.92,6.15,20.01
1981-03-21,0,15.58,5.57,18.68
1981-03-22,0,4.75,5.39,18.12
1981-03-23,0,1.23,5.43,16.77
1981-03-24,0,0.02,6.15,14.83
1981-03-25,0,0.01,6.94,13.19
1981-03-26,0,0,7.54,15.86
1981-03-27,0,0,7.29,18.04
1981-03-28,0,0,7.15,19.59
1981-03-29,0,0,8.82,21.07
1981-03-30,0,0,9.3,20.77
1981-03-31,0,0,8.5,21.27
1981-04-01,0,0,8.35,20.99
1981-04-02,0,0,7.93,20.86
1981-04-03,0,0,8.02,21.47
1981-04-04,0,0,8.71,22.24
1981-04-05,0,0,8.18,22.03
1981-04-06,0,0,8.74,21.79
1981-04-07,0,0.04,7.17,20.89
1981-04-08,0,0.18,8.34,20.63
1981-04-09,0,2.9,6.77,19.17
1981-04-10,0,2.47,5.3,18.13
1981-04-11,0,0.53,5.07,18.21
1981-04-12,0,0.39,5.75,19.36
1981-04-13,0,0.03,6.25,20.53
1981-04-14,0,0,7.35,21.86
1981-04-15,0,0,8.16,21.8
1981-04-16,0,0,7.61,21.28
1981-04-17,0,0,8.26,19.92
1981-04-18,0,0,7.55,19.49
1981-04-19,0,0,7.41,19.61
1981-04-20,0,0,7.52,19.74
1981-04-21,0,0,8.51,19.8
1981-04-22,0,0,7.43,19.73
1981-04-23,0,0,6.47,19.37
1981-04-24,0,0,6.05,18.93
1981-04-25,0,0,6.22,18.73
1981-04-26,0,0,6.24,16.75
1981-04-27,0,0,5.67,13.82
1981-04-28,0,0,6.95,15.92
1981-04-29,0,0,6.93,17.65
1981-04-30,0,0,7.33,18.73
1981-05-01,0,0,6.39,18.38
1981-05-02,0,0,5.76,18.73
1981-05-03,0,0,7.14,18.47
1981-05-04,0,0,6.35,18.14
1981-05-05,0,0,5.92,17.92
1981-05-06,0,0.01,6.15,17.99
1981-05-07,0,0,6.33,18.2
1981-05-08,0,0,6.73,17.89
1981-05-09,0,0,6.99,17.54
1981-05-10,0,0,7.19,18.33
1981-05-11,0,0,7.38,17.36
1981-05-12,0,0,5.21,14.55
1981-05-13,0,0,5.34,13.55
1981-05-14,0,0,5.62,14.94
1981-05-15,0,0,4.8,16.65
1981-05-16,0,0,5.75,16.95
1981-05-17,0,0,5.23,17.27
1981-05-18,0,0,6.45,15.9
1981-05-19,0,0,6.36,15.41
1981-05-20,0,0,6.03,15.21
1981-05-21,0,0,6,15.03
1981-05-22,0,0,6.14,15.62
1981-05-23,0,0,6.63,15.96
1981-05-24,0,0,6.56,16.24
1981-05-25,0,0,6.9,16.17
1981-05-26,0,0,6.56,16.22
1981-05-27,0,0,4.71,13.95
1981-05-28,0,0,4.31,9.95
1981-05-29,0,0,4.43,9.65
1981-05-30,0,0,4.59,11.15
1981-05-31,0,0,5.15,12.97
1981-06-01,0,0,5.13,13.8
1981-06-02,0,0,4.98,15.4
1981-06-03,0,0,3.7,10.35
1981-06-04,0,0.24,4.01,6.88
1981-06-05,0,0,5.42,9.05
1981-06-06,0,0,5.26,11.37
1981-06-07,0,0,5.32,11.93
1981-06-08,0,0,5.69,12.66
1981-06-09,0,0,5.59,13.68
1981-06-10,0,0,4.48,13.94
1981-06-11,0,0,4.93,12.76
1981-06-12,0,0,4.51,13.53
1981-06-13,0,0,4.55,14.32
1981-06-14,0,0,4.33,13.21
1981-06-15,0,0,3.92,13.69
1981-06-16,0,0,6.15,12.83
1981-06-17,0,0,6.18,12.06
1981-06-18,0,0,6.02,11.21
1981-06-19,0,0,5.97,11.19
1981-06-20,0,0,4.49,11.18
1981-06-21,0,0,3.66,12.32
1981-06-22,0,0,4.89,11.72
1981-06-23,0,0,5.73,13.61
1981-06-24,0,0,5.03,13.88
1981-06-25,0,0,4.11,13.47
1981-06-26,0,0,4.17,13.09
1981-06-27,0,0,3.77,12.85
1981-06-28,0,0,3.97,13.21
1981-06-29,0,0,4.02,12.69
1981-06-30,0,0,4.3,8.96
1981-07-01,0,0,4.79,9
1981-07-02,0,0,5.05,10.55
1981-07-03,0,0,5.87,10.85
1981-07-04,0,0,5.84,12.68
1981-07-05,0,0,5.11,12.83
1981-07-06,0,0,4.7,12.28
1981-07-07,0,0,4.27,11.54
1981-07-08,0,0,4.69,11.02
1981-07-09,0,0,5.7,13.62
1981-07-10,0,0,4.89,12.62
1981-07-11,0,0,3.72,11.41
1981-07-12,0,0,4.15,10.99
1981-07-13,0,0,4.66,11.3
1981-07-14,0,0,5.16,14.34
1981-07-15,0,0,5.87,15.97
1981-07-16,0,0,5.93,14.97
1981-07-17,0,0,5.37,14.78
1981-07-18,0,0,6.37,16.31
1981-07-19,0,0,5.85,14.77
1981-07-20,0,0,4.26,14
1981-07-21,0,0,5.23,14.09
1981-07-22,0,0,5.55,14.45
1981-07-23,0,0,4.54,14.02
1981-07-24,0,0,6.02,14.18
1981-07-25,0,0,6.75,14.24
1981-07-26,0,0,7.37,14.39
1981-07-27,0,0,5.18,13.74
1981-07-28,0,0,5.16,13.34
1981-07-29,0,0,5.1,14.38
1981-07-30,0,0,6.27,15.43
1981-07-31,0,0,6.11,14.98
1981-08-01,0,0,5.44,14.1
1981-08-02,0,0,4.77,11.01
1981-08-03,0,0,4.21,9.19
1981-08-04,0,0,4.47,9.09
1981-08-05,0,0,6.07,12.55
1981-08-06,0,0,6.48,15.93
1981-08-07,0,0,5.53,16.52
1981-08-08,0,0,6.13,16.82
1981-08-09,0,0,6.81,17.43
1981-08-10,0,0,5.38,15.35
1981-08-11,0,0,4.82,15.16
1981-08-12,0,0,6.26,15.91
1981-08-13,0,0,5.56,17.04
1981-08-14,0,0,6.14,16.78
1981-08-15,0,0,6.29,16.51
1981-08-16,0,0,6.24,15.03
1981-08-17,0,0,4.67,13.96
1981-08-18,0,0,6.51,13.37
1981-08-19,0,0,6.05,15.32
1981-08-20,0,0.02,5.96,17.21
1981-08-21,0,0.97,5.13,14.06
1981-08-22,0,0,6.06,12.17
1981-08-23,0,0,5.41,10.68
1981-08-24,0,0,5.09,11.31
1981-08-25,0,0,6.27,14.07
1981-08-26,0,0,6.53,14.35
1981-08-27,0,0,5.1,9.98
1981-08-28,0,0,5.01,8.16
1981-08-29,0,0,5.16,7.13
1981-08-30,0,0,6.14,8.92
1981-08-31,0,0,6.17,10.79
1981-09-01,0,0,8.35,10.67
1981-09-02,0,0,8.52,11.56
1981-09-03,0,0,7.71,13.44
1981-09-04,0,0,7.32,14.91
1981-09-05,0,0,7.73,16.24
1981-09-06,0,0,7.88,16.52
1981-09-07,0,0,6.7,15.3
1981-09-08,0,0,6.25,14.5
1981-09-09,0,0,6.18,14.19
1981-09-10,0,0,7.39,13.43
1981-09-11,0,0,7.56,15.4
1981-09-12,0,0,6.42,16.65
1981-09-13,0,0,7.15,15.52
1981-09-14,0,0,6.21,16.91
1981-09-15,0,0,6.77,16.72
1981-09-16,0,0,7.19,16.72
1981-09-17,0,0,6.1,18.19
1981-09-18,0,0,8.35,19.62
1981-09-19,0,0,7.3,21.74
1981-09-20,0,0,8.91,21.39
1981-09-21,0,0,8.45,21.99
1981-09-22,0,0,7.76,23.18
1981-09-23,0,0.43,7.95,23.1
1981-09-24,0,0.21,8.28,23.47
1981-09-25,0,0.12,8.1,22.07
1981-09-26,0,0,8.15,21.52
1981-09-27,0,0,8.72,20.61
1981-09-28,0,0,8.9,20.19
1981-09-29,0,0,9.17,20.66
1981-09-30,0,0,8.55,20.59
1981-10-01,0,0,8.95,20.29
1981-10-02,0,0,7.68,18.05
1981-10-03,0,0,7.11,15.82
1981-10-04,0,0,8.15,17.63
1981-10-05,0,0,11.26,20.81
1981-10-06,0,1.06,6.7,19.21
1981-10-07,0,0.12,11.03,22.44
1981-10-08,0,0.26,7.73,21.25
1981-10-09,0,0.68,8.71,21.03
1981-10-10,0,0,8.42,21
1981-10-11,0,0,8.06,20.9
1981-10-12,0,0,8.37,20.11
1981-10-13,0,0,9,21.43
1981-10-14,0,1.96,8.29,21.16
1981-10-15,0,0,8.29,16.05
1981-10-16,0,0,7.43,15.13
1981-10-17,0,0,9.62,18.9
1981-10-18,0,0,10.63,21.42
1981-10-19,0,0,10.84,21.62
1981-10-20,0,0.17,10.11,20.45
1981-10-21,0,0,9.56,19.55
1981-10-22,0,0,8.67,18.88
1981-10-23,0,0.02,7.91,18.25
1981-10-24,0,0,9.82,19.25
1981-10-25,0,0,10.41,21.27
1981-10-26,0,0,8.82,21.06
1981-10-27,0,0,9.36,20.69
1981-10-28,0,0,9.52,21.82
1981-10-29,0,0,9.9,22.67
1981-10-30,0,0,10.19,23.54
1981-10-31,0,0,10.19,24.61
1981-11-01,0,0.04,10.36,25.35
1981-11-02,0,0,9.92,26.65
1981-11-03,0,0,10.74,26.58
1981-11-04,0,0,10.59,25.74
1981-11-05,0,0,10.38,25.84
1981-11-06,0,0,11.57,26.35
1981-11-07,0,0,10.13,25.52
1981-11-08,0,0,9.71,23.9
1981-11-09,0,0,10.1,22.94
1981-11-10,0,0,9.25,22.59
1981-11-11,0,0,9.68,22.42
1981-11-12,0,0.06,9.6,22.56
1981-11-13,0,0,8.81,22.96
1981-11-14,0,0,9.19,23.35
1981-11-15,0,0,9.01,23.3
1981-11-16,0,0.06,9.54,23.28
1981-11-17,0,0,9.61,23.47
1981-11-18,0,0,9.48,23.01
1981-11-19,0,0,9.14,22.79
1981-11-20,0,0,9.47,24.01
1981-11-21,0,0,10.03,22.03
1981-11-22,0,0,9.05,20.16
1981-11-23,0,0,9.41,20.35
1981-11-24,0,0,9.22,22.04
1981-11-25,0,0,9.75,21.33
1981-11-26,0,0,9.61,21.45
1981-11-27,0,0,9.53,21.7
1981-11-28,0,0,9.61,20.11
1981-11-29,0,0,9.39,19.52
1981-11-30,0,0,11.52,22.32
1981-12-01,0,0,10.76,22.69
1981-12-02,0,0,9.15,22.29
1981-12-03,0,0,9.4,23.41
1981-12-04,0,0,9.64,22.92
1981-12-05,0,0,10.38,23.32
1981-12-06,0,0,9.76,23.09
1981-12-07,0,0,9.17,22.3
1981-12-08,0,0,9.71,22.92
1981-12-09,0,0,9.75,24.54
1981-12-10,0,0,9.54,24.25
1981-12-11,0,0,9.41,22.77
1981-12-12,0,0,9.58,23.17
1981-12-13,0,0.2,11.75,26.15
1981-12-14,0,1.21,8.59,24.42
1981-12-15,0,0.55,10.72,25.12
1981-12-16,0,0,10.02,23.76
1981-12-17,0,0,10.38,23.64
1981-12-18,0,0,10.58,24.02
1981-12-19,0,0,9.74,23.54
1981-12-20,0,0,10,24.57
1981-12-21,0,0,9.87,25.02
1981-12-22,0,0.72,9.45,24.72
1981-12-23,0,0.09,10.32,25.67
1981-12-24,0,0,9.47,25.58
1981-12-25,0,0.05,9.59,25.82
1981-12-26,0,0,10.69,25.99
1981-12-27,0,0.02,9.6,25.66
1981-12-28,0,0,10.39,25.91
1981-12-29,0,0,9.93,25.65
1981-12-30,0,0,9.66,25.48
1981-12-31,0,0,10.46,25.36
1982-01-01,0,0,9.41,23.42
1982-01-02,0,0,9.46,21.87
1982-01-03,0,0,8.67,22.23
1982-01-04,0,0.13,11.26,24.5
1982-01-05,0,0.7,8.78,24.54
1982-01-06,0,0,10.17,25.38
1982-01-07,0,0,10.28,25.88
1982-01-08,0,0,9.62,25.98
1982-01-09,0,0,9.76,24.8
1982-01-10,0,0,9.99,24.1
1982-01-11,0,0,9.3,23.7
1982-01-12,0,0,10.71,24.7
1982-01-13,0,0,11.22,24.79
1982-01-14,0,0,9.87,24.07
1982-01-15,0,0,10.05,21.46
1982-01-16,0,0,10.12,20.88
1982-01-17,0,0,9.39,22.02
1982-01-18,0,0,9.88,23.27
1982-01-19,0,0,9.41,24.18
1982-01-20,0,0.1,8.93,23.82
1982-01-21,0,0.21,10.25,24.23
1982-01-22,0,0,9.66,24.55
1982-01-23,0,0.82,8.06,23.56
1982-01-24,0,20.44,6.83,22.45
1982-01-25,0,8.71,6.69,21.87
1982-01-26,0,0.91,7.89,23.43
1982-01-27,0,0.25,7.82,23.4
1982-01-28,0,0,9.25,23.35
1982-01-29,0,0,10.98,23.03
1982-01-30,0,0,11.18,23.68
1982-01-31,0,0.21,10.7,25.15
1982-02-01,0,8.99,7.43,23.46
1982-02-02,0,9.65,6.43,21.63
1982-02-03,0,3.72,6.55,21.36
1982-02-04,0,11.14,6.11,21.06
1982-02-05,0,6.7,6.29,21.98
1982-02-06,0,4.62,6.93,22.85
1982-02-07,0,0.37,7.92,23.6
1982-02-08,0,1.73,7.16,22.93
1982-02-09,0,0.03,8.23,22.08
1982-02-10,0,0.01,10.11,22.55
1982-02-11,0,0,8.96,23.62
1982-02-12,0,3.89,7.24,22.72
1982-02-13,0,15.76,5.96,21.85
1982-02-14,0,1.76,7.37,22.55
1982-02-15,0,1.16,6.93,22.03
1982-02-16,0,7.98,7.07,21.9
1982-02-17,0,1.37,7.79,22.64
1982-02-18,0,0.01,8.65,22.19
1982-02-19,0,1.15,7.6,21.63
1982-02-20,0,0,8.85,22.55
1982-02-21,0,0,8.46,22.97
1982-02-22,0,0.21,8.26,23.38
1982-02-23,0,1.18,7.73,24.1
1982-02-24,0,4.06,7.07,23.76
1982-02-25,0,0.3,7.98,23.64
1982-02-26,0,0,9.28,23.36
1982-02-27,0,0,8.37,22.72
1982-02-28,0,0,8.12,22.64
1982-03-01,0,7.67,8.12,22.34
1982-03-02,0,7.85,7.13,21.37
1982-03-03,0,4.17,5.89,20.39
1982-03-04,0,8.68,5.18,19.65
1982-03-05,0,5.43,5.95,19.15
1982-03-06,0,0.89,6.02,19.72
1982-03-07,0,1.06,5.12,20.32
1982-03-08,0,4.11,6.37,20.56
1982-03-09,0,0.31,6.86,21.28
1982-03-10,0,0.01,7.67,21.15
1982-03-11,0,0,7.14,21.82
1982-03-12,0,0.01,7.49,23.06
1982-03-13,0,1.14,6.72,22.54
1982-03-14,0,0.05,6.85,23.06
1982-03-15,0,0,8,23.42
1982-03-16,0,0.05,7.4,23.22
1982-03-17,0,0.49,7.85,23.92
1982-03-18,0,0.06,7.65,24.5
1982-03-19,0,1.86,6.73,23.14
1982-03-20,0,0.09,8.65,22.49
1982-03-21,0,0,7.92,22.08
1982-03-22,0,0,8.23,21.45
1982-03-23,0,0,8.12,21.26
1982-03-24,0,0,7.88,21.36
1982-03-25,0,0.01,7.81,21.74
1982-03-26,0,0.52,7.29,20.67
1982-03-27,0,0,7.48,19.75
1982-03-28,0,0,9.19,20.97
1982-03-29,0,0,8.83,22.71
1982-03-30,0,0.1,7.24,23.77
1982-03-31,0,0.86,6.76,24.51
1982-04-01,0,0.09,7.06,23.23
1982-04-02,0,0.05,8.01,23.49
1982-04-03,0,0.74,7.22,22.49
1982-04-04,0,2.95,7.63,21.38
1982-04-05,0,1.63,5.01,19.01
1982-04-06,0,13.51,5.12,16.79
1982-04-07,0,0.02,5.49,16.86
1982-04-08,0,0.4,5.03,16.77
1982-04-09,1.54,0.04,5.84,16.76
1982-04-10,0,0.01,6.65,14.95
1982-04-11,0,0,6.99,16.38
1982-04-12,0,0,6.88,19.25
1982-04-13,0,0,6.8,19.82
1982-04-14,0,0,7.16,19.35
1982-04-15,0,0,6.84,19.04
1982-04-16,0,0,6.79,18.39
1982-04-17,0,0,6.45,16.48
1982-04-18,0,0,7.18,16.12
1982-04-19,0,0,7.33,15.97
1982-04-20,0,0,6.58,17.26
1982-04-21,0,0,6.96,17.9
1982-04-22,0,0,7.03,18.87
1982-04-23,0,0,7.1,17.43
1982-04-24,0,0,6.97,16.73
1982-04-25,0,0,6.87,16.54
1982-04-26,0,0,6.34,16.76
1982-04-27,0,0,5.81,16.56
1982-04-28,0,0,5.43,14.6
1982-04-29,0,0,6.48,14.71
1982-04-30,0,0,5.61,14.45
1982-05-01,0,0,6.83,16.1
1982-05-02,0,0,6.54,17.16
1982-05-03,0,0,6.14,17.39
1982-05-04,0,0,6.29,16.98
1982-05-05,0,0,5.52,17.35
1982-05-06,0,0.03,5.98,17.87
1982-05-07,0,0,6.89,18.15
1982-05-08,0,0,6.83,17.22
1982-05-09,0,0,5.9,16.6
1982-05-10,0,0,5.45,16.48
1982-05-11,0,0,4.89,16.9
1982-05-12,0,0,4.98,16.8
1982-05-13,0,0,5.16,17.53
1982-05-14,0,0,6.23,17.58
1982-05-15,0,0,6.48,18.48
1982-05-16,0,0,6.77,18.2
1982-05-17,0,0,4.99,16.89
1982-05-18,0,0,4.86,16.75
1982-05-19,0,0,4.99,17.44
1982-05-20,0,0,5.08,17.81
1982-05-21,0,0,4.8,17.65
1982-05-22,0,0,5.4,17.49
1982-05-23,0,0,5.65,17.37
1982-05-24,0,0,4.6,16.46
1982-05-25,0,0,4.62,16.48
1982-05-26,0,0,4.59,15.94
1982-05-27,0,0,5.49,15.4
1982-05-28,0,0,5.36,16.46
1982-05-29,0,0.06,5.65,16.45
1982-05-30,0,0.07,4.98,16.18
1982-05-31,0,2.49,5.44,14.92
1982-06-01,0,0,6.39,15.75
1982-06-02,0,0.01,5.78,15.16
1982-06-03,0,0,5.44,14.7
1982-06-04,0,0,5.93,15.42
1982-06-05,0,0,5.84,14.72
1982-06-06,0,0,4,13.48
1982-06-07,0,0,4.7,13.28
1982-06-08,0,0,5.47,14.33
1982-06-09,0,0,6.06,14.44
1982-06-10,0,0,5.34,14.21
1982-06-11,0,0,4.37,12.21
1982-06-12,0,0,3.83,12.49
1982-06-13,0,0,3.93,10.11
1982-06-14,0,0,4.43,6.1
1982-06-15,0,0,4.49,8.13
1982-06-16,0,0,4.24,10.24
1982-06-17,0,0,4.09,11.16
1982-06-18,0,0,5.46,12.82
1982-06-19,0,0,5.12,13.83
1982-06-20,0,0,5.1,14.62
1982-06-21,0,0,4.62,15.16
1982-06-22,0,0,3.92,15.5
1982-06-23,0,0,4.98,14.6
1982-06-24,0,0,5.47,14.58
1982-06-25,0,0,5.18,14.34
1982-06-26,0,0,4.39,13.58
1982-06-27,0,0,4.73,13.91
1982-06-28,0,0,5.26,15.36
1982-06-29,0,0,5.24,15.65
1982-06-30,0,0,6.05,14.62
1982-07-01,0,2.8,2.79,4.78
1982-07-02,0,0,4.32,4.55
1982-07-03,0,0,5.58,6.78
1982-07-04,0,0,5.46,8.32
1982-07-05,0,0,5.57,10.02
1982-07-06,0,0,4.51,11.83
1982-07-07,0,0,4.95,12.99
1982-07-08,0,0,4.92,13.84
1982-07-09,0,0,4.81,14.38
1982-07-10,0,0,5.3,13.81
1982-07-11,0,0,5.54,13.44
1982-07-12,0,0,6.15,12.69
1982-07-13,0,0,6.23,12.37
1982-07-14,0,0,5.71,12.27
1982-07-15,0,0,4.79,12.61
1982-07-16,0,0,5.82,12.43
1982-07-17,0,0,5.33,12.02
1982-07-18,0,0,5.04,11.88
1982-07-19,0,0,5.57,11.39
1982-07-20,0,0,5.81,12.68
1982-07-21,0,0,5.24,10.87
1982-07-22,0,0.13,3.4,7.16
1982-07-23,0,0,3.69,8.52
1982-07-24,0,0,4.03,7.51
1982-07-25,0,0,3.53,7.15
1982-07-26,0,0,5.61,11.8
1982-07-27,0,0,4.63,13.33
1982-07-28,0,0,3.72,12.21
1982-07-29,0,0,5.45,12.96
1982-07-30,0,0,6.3,16.67
1982-07-31,0,0,5.67,16.28
1982-08-01,0,0,5.01,15.12
1982-08-02,0,0,5.67,14.82
1982-08-03,0,0,5,15.36
1982-08-04,0,0,5.02,15.63
1982-08-05,0,0,5.96,15.65
1982-08-06,0,0,6.62,15.62
1982-08-07,0,0,6.58,15.84
1982-08-08,0,0,5.71,15.02
1982-08-09,0,0,4.82,16.03
1982-08-10,0,0,5.74,15.61
1982-08-11,0,0,5.14,16.22
1982-08-12,0,0,6.72,17.13
1982-08-13,0,0,7.25,17.24
1982-08-14,0,0,6.61,16.72
1982-08-15,0,0,5.5,16.06
1982-08-16,0,0,6.06,15.72
1982-08-17,0,0,5.75,15.93
1982-08-18,0,0,6.1,16.57
1982-08-19,0,0,6.39,17.02
1982-08-20,0,0,5.69,17.02
1982-08-21,0,0,5.97,16.15
1982-08-22,0,0,6.46,16.71
1982-08-23,0,0,6.54,17.72
1982-08-24,0,0,5.97,17.46
1982-08-25,0,0,6.26,17.43
1982-08-26,0,0,6.23,17.55
1982-08-27,0,0,6.25,18.02
1982-08-28,0,0,6.47,18.05
1982-08-29,0,0,8.3,18.29
1982-08-30,0,0,7.87,17.17
1982-08-31,0,0,6.25,13.15
1982-09-01,0,0.01,5.88,10.69
1982-09-02,0,0,7.46,12.92
1982-09-03,0,0,6.78,15.63
1982-09-04,0,0,6.2,16.37
1982-09-05,0,0,6.87,17.37
1982-09-06,0,0,7.17,17.45
1982-09-07,0,0.03,7.77,18.42
1982-09-08,0,2.69,8.11,18.44
1982-09-09,0,2.29,7.12,17.48
1982-09-10,0,0,7.33,17.9
1982-09-11,0,0,6.57,17.86
1982-09-12,0,0,6.92,19.05
1982-09-13,0,0,7.36,20.3
1982-09-14,0,0.61,6.4,18.33
1982-09-15,0,0,6.75,19.48
1982-09-16,0,0,7.15,20.83
1982-09-17,0,0.04,7.18,21.82
1982-09-18,0,0.25,7.41,20.34
1982-09-19,0,0.05,8,21.21
1982-09-20,0,0.02,7.73,22.62
1982-09-21,0,0.08,8.83,23.41
1982-09-22,0,1.1,7.42,23.32
1982-09-23,0,0,7.83,23.38
1982-09-24,0,0,9.43,22.38
1982-09-25,0,0,9.73,21.73
1982-09-26,0,0,9.56,20.68
1982-09-27,0,0,9.26,21.01
1982-09-28,0,0.01,7.98,20.74
1982-09-29,0,0.01,7.44,21.17
1982-09-30,0,0,9.78,21.68
1982-10-01,0,0,11.51,21.98
1982-10-02,0,0.06,10.38,22.39
1982-10-03,0,0.15,8.86,22.9
1982-10-04,0,0,9.3,22.73
1982-10-05,0,0,9.1,22.58
1982-10-06,0,0,8.78,22.26
1982-10-07,0,0,7.75,21.31
1982-10-08,0,0.01,8.23,21.54
1982-10-09,0,0.03,8.67,20.26
1982-10-10,0,1.48,7.44,19.09
1982-10-11,0,4.38,5.3,15.27
1982-10-12,0,0,7.99,15.06
1982-10-13,0,0,8.07,13.91
1982-10-14,0,0,7.37,14.34
1982-10-15,0,0,7.35,16.89
1982-10-16,0,0,8.66,18.32
1982-10-17,0,0,7.77,14.26
1982-10-18,0,0.03,8.07,18.72
1982-10-19,0,0,7.29,20.08
1982-10-20,0,0,8.84,21.09
1982-10-21,0,0,11.56,22.01
1982-10-22,0,0,10.37,21.68
1982-10-23,0,0,9.69,21.58
1982-10-24,0,0,8.49,21.89
1982-10-25,0,0.31,8.87,22.01
1982-10-26,0,0.19,8.93,23.2
1982-10-27,0,0,8.54,22.49
1982-10-28,0,0,9.32,22.46
1982-10-29,0,0,9.21,21.51
1982-10-30,0,0.02,9.05,21.4
1982-10-31,0,0,8.08,19.38
1982-11-01,0,0,9.59,18.2
1982-11-02,0,0,8.84,19.3
1982-11-03,0,0,8.91,20.38
1982-11-04,0,0,8.96,21.86
1982-11-05,0,0,8.5,21.85
1982-11-06,0,0,9.03,21.2
1982-11-07,0,0,9.12,22.7
1982-11-08,0,0,9.8,23.6
1982-11-09,0,0,9.05,22.45
1982-11-10,0,0,8.54,21.16
1982-11-11,0,0,8.3,21.21
1982-11-12,0,0,11.89,23.64
1982-11-13,0,0,12.4,25.04
1982-11-14,0,0,9.44,23.68
1982-11-15,0,0,10.48,23.12
1982-11-16,0,0,9.97,22.21
1982-11-17,0,0,9.21,21.17
1982-11-18,0,0,9.15,21.32
1982-11-19,0,0,9.18,23.46
1982-11-20,0,0.09,8.3,23.4
1982-11-21,0,0,10.2,23.19
1982-11-22,0,0,9.09,22.82
1982-11-23,0,0,8.8,22.87
1982-11-24,0,0.04,9.64,24.06
1982-11-25,0,1.87,8.43,24.85
1982-11-26,0,0.72,9.63,24.49
1982-11-27,0,0.32,8.68,24.23
1982-11-28,0,0.01,9.31,23.97
1982-11-29,0,0.65,8.63,24.34
1982-11-30,0,1.83,7.04,22.65
1982-12-01,0,2.53,6.79,21.37
1982-12-02,0,15.07,2.27,17.99
1982-12-03,0,9.3,5.56,19.83
1982-12-04,0,14.69,4.57,18.84
1982-12-05,0,1.54,6.52,17.87
1982-12-06,0,0.4,6.62,17.55
1982-12-07,0,0,7.79,18.38
1982-12-08,0,0,8.56,19.11
1982-12-09,0,0,9.97,21.15
1982-12-10,0,0,9.61,22.04
1982-12-11,0,0,9.17,20.36
1982-12-12,0,0,9.03,19.37
1982-12-13,0,0,8.95,20.07
1982-12-14,0,0,10.84,24.16
1982-12-15,0,0,9.94,24.82
1982-12-16,0,0,9.65,24.39
1982-12-17,0,0,9.7,23.14
